Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"-15.80133683,-47.90366117",05/19/2018 05:32:49,15,15,15,13.7,92.15,,2.5,,273,,0,,,,0,1017.6,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/19/2018 06:32:49,15.3,15.3,15.3,14.1,92.21,,1.4,,310,,0,,,,0,1018.1,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/19/2018 07:32:49,21.4,21.4,21.4,15.7,70.04,,1.4,,17,,0,,,,0,1015.8,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/19/2018 08:32:49,23.5,23.5,23.5,16.1,63.2,,2.2,,10,,0,,,1,11.1,1016.1,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/19/2018 09:32:49,25.1,25.1,25.1,15.4,55.15,,8.4,,349,,0,,,1,11.1,1015.8,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/19/2018 10:32:49,25.4,25.4,25.4,14.8,51.62,,9.2,,325,,0,,,1,11.1,1014.8,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/19/2018 11:32:49,26.5,26.5,26.5,14.5,47.63,,12.9,,350,,0,,,1,20,1013,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/19/2018 12:32:49,25.3,25.3,25.3,14.7,51.76,,13.1,,312,,0,,,1,20,1013.1,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/19/2018 13:32:49,26,26,26,14.7,49.68,,16.2,,334,,0,,,1,20,1011.5,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/19/2018 14:32:49,26,26,26,14.8,50.22,,12.4,,327,,0,,,1,11.1,1010.8,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/19/2018 15:32:49,24.1,24.1,24.1,15.3,57.86,,10.9,,321,,0,,,1,20,1011.2,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/19/2018 16:32:49,23.1,23.1,23.1,15.9,63.89,,10.9,,271,,0,,,1,11.1,1012,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/19/2018 17:32:49,18.7,18.7,18.7,16.7,87.76,,19.7,,247,,0,,,1,11.1,1015.8,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/19/2018 18:32:49,17.5,17.5,17.5,16.1,91.59,,20,,212,,0,,,0.3,11.1,1016.8,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/19/2018 19:32:49,16.8,16.8,16.8,15.5,92.46,,16.5,,230,,0,,,0.9,11.1,1018.2,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/19/2018 20:32:49,16.8,16.8,16.8,15.1,90.25,,13.6,,254,,0,,,1,20,1018.7,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/19/2018 21:32:49,16.7,16.7,16.7,14.9,89.31,,6.7,,338,,0,,,1,20,1018.9,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/19/2018 22:32:49,16.4,16.4,16.4,14.8,90.17,,9,,312,,0,,,1,22.2,1019.4,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/19/2018 23:32:49,16.4,16.4,16.4,14.8,89.76,,3.6,,243,,0,,,,0,1018.1,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/20/2018 00:32:49,16.4,16.4,16.4,14.5,88.42,,6.8,,285,,0,,,,0,1017.9,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/20/2018 01:32:49,16.1,16.1,16.1,14.1,88.02,,4.2,,244,,0,,,,0,1017.9,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/20/2018 02:32:49,16.1,16.1,16.1,14.3,88.89,,4.5,,200,,0,,,,0,1017.2,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/20/2018 03:32:49,15.7,15.7,15.7,14.5,92.43,,4.5,,345,,0,,,,0,1017.3,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/20/2018 04:32:49,15.1,15.1,15.1,14.1,93.77,,2,,152,,0,,,,0,1016.9,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
"-15.80133683,-47.90366117",05/20/2018 05:32:49,14.4,14.4,14.4,13.3,92.81,,2.5,,23,,0,,,,0,1017.3,,-15.80133683,-47.90366117,"-15.80133683,-47.90366117",,,Clear
